 angle,col_dark,col_light,pht_dark,pht_light
-90,0.4558019638,0.5256248713,0.9197239876,1.4368468523
-88,0.3680855036,0.3974277675,0.3577725291,0.2797289789
-86,0.3996384144,0.4122877121,0.3799919486,0.3820205331
-84,0.3570967317,0.4007809162,0.3618873656,0.2863118947
-82,0.5067551136,0.617518127,0.4442726076,0.2930811644
-80,0.5141547322,0.4120183587,0.4362353086,0.4031111896
-78,0.5455307364,0.5052408576,0.4966054857,0.3165884018
-76,0.6591311693,0.550278306,0.4399707913,0.5012500286
-74,0.7217506766,0.5863333344,0.4902535677,0.3950591981
-72,0.7337508798,0.5327518582,0.6879807711,0.4027769268
-70,0.993350327,0.4994086921,0.5238727331,0.3610441089
-68,1.0799175501,0.6258458495,0.5857878327,0.6965245008
-66,1.2290093899,0.6590343118,0.6023846865,0.4747823477
-64,1.2872962952,0.6492994428,0.7235608697,0.6280686259
-62,1.0021719933,0.7414146066,0.8273063302,0.4514740705
-60,0.9654167295,0.8158889413,0.8807210922,1.1231076717
-58,1.224968195,0.7910326123,0.7792243361,0.9293285608
-56,1.2708494663,0.9383399487,0.8846438527,0.9149762392
-54,1.0266287327,0.8736591935,0.7968907356,0.9965307713
-52,0.9829341769,0.8842811584,0.9219896197,0.9422742128
-50,1.1397365332,0.8725684881,0.8613774776,0.9487048984
-48,1.2069066763,0.9309344888,0.9304616451,1.210755825
-46,2.0257925987,1.1013977528,1.3768547773,1.4287625551
-44,1.2841763496,1.0542205572,1.0526168346,1.1931190491
-42,1.0927382708,1.1486258507,0.9172616005,1.2750655413
-40,1.1375453472,0.94239223,1.0787268877,1.0908931494
-38,0.9869352579,0.983956039,1.1099431515,1.3125394583
-36,1.1668345928,0.9560080171,1.2290912867,1.4005643129
-34,1.4884607792,1.023470521,1.343490243,1.001691103
-32,1.3276542425,1.083286643,1.4231796265,1.334059
-30,1.1815891266,1.0885186195,1.4172590971,1.3633438349
-28,1.3522875309,1.0900001526,1.4673480988,1.4268132448
-26,1.3959417343,1.2552788258,1.773892045,1.3774251938
-24,1.3610824347,1.1592857838,1.7890841961,1.2828911543
-22,1.1400088072,1.1014590263,1.6286351681,1.5869531631
-20,1.2098675966,1.178670764,1.9224386215,1.767080307
-18,1.0574121475,1.1775832176,2.2043530941,1.6229636669
-16,0.8873265386,1.1368536949,2.4925677776,1.4828566313
-14,1.0739269257,1.2412582636,2.3693256378,1.2015376091
-12,0.8769318461,1.13263762,2.0567064285,1.2797544003
-10,0.8539991975,1.2395154238,2.061150074,2.170799017
-8,0.6847469211,1.2482151985,1.7073265314,1.4638447762
-6,0.7193567753,1.447119236,1.8686448336,1.3157379627
-4,0.6065914035,1.7164746523,1.7660367489,1.6794310808
-2,0.7725554109,1.8879163265,2.0636949539,1.6558815241
1.27222193825778E-013,1.1383742094,2.3638253212,3.3012301922,5.22026968
2,0.590305388,1.7313005924,1.9894142151,1.3568754196
4,0.6385796666,1.8783261776,2.1703615189,1.448730588
6,0.6550581455,1.7545650005,1.8236048222,1.3227105141
8,0.7242257595,1.948217392,1.8111432791,1.7605870962
10,0.8202027082,2.0177824497,1.5165679455,1.8575567007
12,0.9636741281,2.0124080181,2.0146577358,2.3945689201
14,1.0177041292,2.0405957699,1.861794591,1.9825797081
16,1.1736731529,1.9945085049,1.7976894379,2.130184412
18,1.2577741146,2.029676199,1.5159682035,2.153428793
20,1.1452279091,2.1257305145,1.2667111158,1.9626082182
22,1.2996103764,1.8846049309,1.1789238453,1.473520875
24,1.2377499342,1.7508211136,1.3205411434,1.94837749
26,1.5356001854,2.0171177387,1.2371879816,1.6507608891
28,1.700075984,1.832852602,1.234361887,1.7454692125
30,1.9695273638,1.7414041758,1.0277267694,1.3561460972
32,2.3856573105,1.5518144369,1.0952529907,1.6069967747
34,2.2633686066,1.5737518072,1.1866928339,1.574960947
36,1.7643402815,1.416764617,1.058242321,1.6154464483
38,1.8346345425,1.3595610857,0.993348062,1.5516425371
40,2.1489450932,1.2977076769,1.1308381557,1.0630927086
42,1.9383878708,1.1285010576,0.9534651637,1.1208720207
44,2.4092741013,1.3083817959,1.3137667179,1.4320816994
46,1.7107393742,1.0508499146,1.1642706394,0.8851837516
48,1.747606039,0.9457957745,0.8295572996,0.8925774097
50,1.6188423634,0.9817328453,0.7678281069,1.0241000652
52,1.4164297581,0.925059855,0.8271889091,0.4516136944
54,1.7579783201,1.0853096247,0.8898245692,0.7125817537
56,1.7581931353,1.1062102318,0.5886315703,0.5089161992
58,1.5439122915,1.0323351622,0.699663341,0.8819851875
60,1.2483354807,0.9503415823,0.6237852573,0.3821162581
62,1.4649164677,0.9265500307,0.5888549685,0.654715538
64,1.5075266361,0.8925154209,0.5283323526,0.4953036904
66,1.0643376112,0.8702532649,0.6063660979,0.7279019356
68,0.9739126563,0.7594812512,0.5676714778,0.2799436152
70,0.8888715506,0.8941460848,0.4227901697,0.4028197825
72,0.7876529098,0.8478357792,0.3787021637,0.4066711366
74,0.5453894138,0.8660046458,0.4411040545,0.6983171701
76,0.5174012184,0.6177069545,0.3544707894,0.1865367591
78,0.5929147601,0.5678126216,0.3818534017,0.3537949026
80,0.4330948293,0.5648159981,0.3563265204,0.2922075391
82,0.3576010764,0.5022839904,0.4446913004,0.2295231819
84,0.3828777373,0.4696803391,0.4287476838,0.2213730663
86,0.3696093261,0.4249121845,0.3949543536,0.1995990425
88,0.3452424705,0.3420335054,0.462351352,0.2943959236
-90,1.0622440577,0.3687467873,2.2790057659,3.2197387218
-88,0.7354630232,0.3064749837,0.3522372544,0.9721384645
-86,0.7479041219,0.2652177513,0.5163710117,1.0481971502
-84,0.7830169797,0.285540849,0.3886032104,0.7888408899
-82,0.99238199,0.3796684146,0.4486831427,0.9384869337
-80,0.886952579,0.3416541219,0.3057512939,0.7827592492
-78,1.0157376528,0.2927060723,0.3397379816,1.0377460718
-76,0.9459958076,0.3678436577,0.6085059047,1.0037810802
-74,1.1210170984,0.3446471989,0.5310422778,0.8612892628
-72,1.1726853848,0.3757535219,0.3857687116,1.0429216623
-70,1.3713046312,0.4144447446,0.3025531173,0.8906780481
-68,1.2313878536,0.3938993514,0.5726089478,1.5390188694
-66,1.2467859983,0.3433539569,0.5611581802,0.807554841
-64,1.1293632984,0.414378792,0.7299734354,1.0143569708
-62,1.3644112349,0.4433254302,0.3035869896,0.9172714949
-60,1.294164896,0.5256672502,0.6390621662,1.1677134037
-58,1.4158788919,0.5217561126,0.3768176138,1.1553683281
-56,1.3996869326,0.5856621265,0.7024077177,1.7889145613
-54,1.3530694246,0.5568964481,0.380166173,0.8285012245
-52,1.4610706568,0.590747118,0.532048285,0.8678073883
-50,1.4944642782,0.6120848656,0.3910951614,1.1465064287
-48,1.5100659132,0.6679574251,0.542327404,1.012018919
-46,2.4269852638,1.001260519,1.434191823,1.9819384813
-44,1.8244646788,0.814034164,0.4560820162,0.9143393636
-42,1.7653580904,0.9810494781,0.6310766339,1.442476511
-40,1.5801411867,0.9506168365,0.7253314853,1.2607755661
-38,1.3578350544,0.9612547159,0.558645308,1.3046264648
-36,1.7164051533,1.0964198112,0.8686263561,1.7239896059
-34,1.7099466324,1.2200915813,0.3535619974,0.9774870276
-32,1.4282445908,1.198189497,0.543700695,1.192360878
-30,1.2922424078,1.3267259598,1.1119276285,1.2747821808
-28,1.3741829395,1.4108598232,1.3188245296,1.1776635647
-26,1.3038198948,1.4956707954,1.0981011391,0.7361708879
-24,1.1361324787,1.5295671225,0.7859005928,1.3412169218
-22,1.3311383724,1.3037304878,1.2357785702,0.9567297697
-20,1.1369172335,1.4135632515,1.5134462118,0.6232333779
-18,1.0355197191,1.474178791,1.260989666,1.2852087021
-16,0.8659806252,1.5679889917,1.7393883467,1.1909446716
-14,1.0372043848,1.5630636215,1.6972173452,1.2615870237
-12,0.8009623885,1.6682595015,1.7502678633,1.5411806107
-10,0.9299581051,1.458100915,1.6336938143,1.0439041853
-8,1.0562474728,1.4687875509,2.2226104736,1.1173012257
-6,0.8168327808,1.6828504801,1.8973107338,1.1560311317
-4,1.0340082645,1.5608206987,1.9422374964,1.1887441874
-2,0.7390280962,2.0411503315,1.6622979641,1.508012414
1.27222193825778E-013,1.0683197975,3.4171147346,4.8730926514,5.0417118073
2,0.8858977556,1.9238877296,1.9376964569,1.2242354155
4,0.8099210858,1.9444591999,2.7721912861,1.6190683842
6,0.7840803266,1.5809895992,2.277279377,0.922813952
8,0.9733072519,1.7087850571,2.7615530491,1.4064429998
10,1.0050823689,1.9482010603,2.0054283142,1.430842638
12,1.2938165665,1.8110028505,2.5910768509,1.2529679537
14,1.4522711039,1.7541342974,1.9089272022,1.6950165033
16,1.6964128017,1.8498134613,1.8830379248,1.5834820271
18,1.335503459,1.771343708,1.9440712929,1.2265969515
20,1.4796921015,1.931520462,1.4766244888,1.1852322817
22,1.6102238894,1.6416691542,1.2643872499,1.1818672419
24,1.6593610048,1.4627987146,1.710605979,1.2448310852
26,1.5847576857,1.6604020596,1.7909481525,1.6155545712
28,1.3944072723,1.6722646952,1.6505379677,1.080180645
30,1.506726861,1.7191911936,1.3419446945,0.8336377144
32,1.3848308325,1.9028890133,1.1718634367,0.7850062251
34,1.5901039839,1.8796727657,1.5247477293,1.3998929262
36,1.1174840927,1.8850364685,0.9908491969,0.9427559972
38,1.3799091578,1.6588492393,1.3051034212,1.0979530811
40,1.2374049425,1.5418584347,1.2897675037,0.8654798865
42,1.1854350567,1.5556938648,1.0848671198,0.5379847884
44,1.6397893429,1.8510152102,2.1959898472,1.6874455214
46,0.9584482312,1.2736868858,1.1309497356,0.6884177923
48,1.0040297508,1.207832098,1.2125818729,1.0201584101
50,0.769829452,1.2467950583,1.0291337967,0.578984201
52,0.8388161063,1.1663150787,0.6783577204,0.5533215404
54,0.7586334944,1.1292660236,1.1485488415,1.2020210028
56,0.8235562444,1.119385004,1.1064409018,0.511515975
58,0.6380730271,1.0397692919,0.9496763349,1.1148440838
60,0.5946561098,1.1400512457,0.7290561795,0.3082271218
62,0.6657583117,0.9976856112,1.0335618258,0.968434751
64,0.5661287308,1.0083619356,0.5442881584,0.3823422194
66,0.6695538163,0.871593833,1.0695443153,0.7094467878
68,0.6307536364,0.6769761443,0.6298754811,0.3379986584
70,0.6389172077,0.738853693,0.3792822957,0.8571002483
72,0.4637157321,0.5844946504,0.6102117896,0.7256838679
74,0.4414124191,0.5773223639,0.5125340819,0.7382212281
76,0.4984221756,0.4161997736,0.5234848261,0.6683741808
78,0.526791811,0.4537698925,0.3294067383,0.5125612617
80,0.5210867524,0.4021169543,0.5236032605,0.4579580128
82,0.5817435384,0.3220995367,0.4005005062,0.6368636489
84,0.5808131099,0.2972860336,0.374440372,0.4624179602
86,0.6152585745,0.3722815514,0.3837091029,0.7568682432
88,0.7042551041,0.2986024022,0.3174999058,0.9149234891
-90,0.5202959776,0.698050499,2.8999266624,2.9303994179
-88,0.4800089002,0.4786381721,0.3202425539,0.4128307402
-86,0.5252710581,0.5504765511,0.6247216463,0.4187787175
-84,0.5252612233,0.4117245078,0.5348950028,0.1726056635
-82,0.4718717337,0.4865405262,0.813665688,0.5090346336
-80,0.4583338201,0.4670282006,1.1048413515,0.255607903
-78,0.5037377477,0.4063957334,0.8388013244,0.3593315482
-76,0.5562403798,0.4732324481,1.0979760885,0.5703774095
-74,0.6504251957,0.5409936905,0.992739141,0.521383822
-72,0.6856043935,0.4922108948,1.0409498215,0.5022418499
-70,0.8366945982,0.5234929919,1.0021630526,0.2335900068
-68,0.9517813921,0.5479713678,1.9136871099,0.6611913443
-66,1.0231778622,0.6845843792,1.2355985641,0.7340957522
-64,0.9266076088,0.6073733568,1.306381464,0.9343049526
-62,1.1173963547,0.6708143353,1.2210370302,0.377084583
-60,1.1020402908,0.7287042141,1.7359076738,0.749114573
-58,1.2213550806,0.7510713339,1.5095659494,0.6221374869
-56,1.0444241762,0.8207706213,1.7864636183,1.2230995893
-54,0.8751266003,0.8154867291,1.5457212925,0.7373763323
-52,1.0536987782,0.8830732107,2.0085549355,0.6320637465
-50,0.9923077226,0.8609454632,1.2163274288,0.9110203981
-48,1.0443309546,0.7287310362,1.4398950338,0.6731903553
-46,1.4118144512,1.1453664303,1.6824377775,1.5588880777
-44,0.9331355095,1.063531518,0.9861222506,0.3441649377
-42,0.9305677414,0.9797530174,0.9448007941,1.2165174484
-40,0.9548624754,0.9484457374,1.8792281151,1.3594523668
-38,0.9134002924,1.1679837704,1.3288788795,0.7503917813
-36,0.9603691101,1.2270377874,1.4676274061,1.6332002878
-34,0.9737463593,1.2635608912,0.7859096527,1.0031225681
-32,0.8379042745,1.0683833361,1.0527428389,0.8377172947
-30,0.9668722153,1.3188301325,1.3119815588,1.334671855
-28,0.8855825067,1.1138528585,1.3223031759,1.6523987055
-26,0.8843935728,1.1965564489,1.2602187395,1.4120484591
-24,0.9337090254,1.3196486235,1.6483931541,1.1710566282
-22,0.9281433225,1.2953799963,1.1790112257,1.2567675114
-20,0.9381837845,1.5633893013,1.1140358448,1.0679831505
-18,1.0506258011,1.500385046,1.5175132751,1.0575140715
-16,1.0235514641,1.8483151197,1.9137707949,0.8972423077
-14,1.1687273979,1.9403392076,1.9855846167,1.9185800552
-12,0.9123089314,1.7151668072,1.1111844778,0.8510733247
-10,1.0243389606,1.5401654243,1.5623400211,1.268155098
-8,0.9217174053,1.602294445,0.8945487142,1.05370152
-6,0.8887777925,1.6212162971,1.0682423115,1.3435264826
-4,1.0985969305,2.0450003147,1.2237659693,1.1097275019
-2,1.3133517504,2.2727706432,0.9950650334,1.4290975332
1.27222193825778E-013,1.8477795124,3.0934827328,2.5039474964,2.658046484
2,1.2253808975,2.2712671757,0.9108550549,2.3896102905
4,1.0217087269,1.6857340336,1.3629757166,2.299077034
6,1.0938318968,1.5959587097,1.3385643959,2.456195116
8,1.1325441599,1.7635971308,1.5193090439,2.0001940727
10,1.2980839014,1.8950811625,1.3785395622,1.6511623859
12,1.5525571108,1.9146716595,1.633176446,2.4301083088
14,1.4933258295,2.0143938065,1.231425643,2.2863922119
16,1.5373387337,1.9256563187,1.6708854437,1.6672101021
18,1.3338912725,1.7919406891,1.0583617687,2.1790006161
20,1.4239346981,1.7543801069,0.6310111284,1.7782280445
22,1.6326181889,1.4747543335,1.1995989084,1.6293816566
24,1.9493758678,1.5396990776,1.145360589,2.611310482
26,1.6956814528,1.3168749809,1.4280544519,2.0172257423
28,1.6326093674,1.20073843,1.1358500719,1.2284449339
30,2.1111526489,1.0392876863,0.868791461,1.6714451313
32,2.3260099888,1.1621153355,1.0486050844,1.4803944826
34,2.0395410061,1.1083760262,1.6819598675,1.8668484688
36,1.8643642664,0.9198678136,0.8963465095,1.4856477976
38,1.7717045546,1.1652065516,1.1146559715,1.457546711
40,1.8201390505,1.141358614,0.6683679223,1.263222456
42,2.0874967575,1.1166082621,0.7912814021,1.1996959448
44,2.5220217705,1.7839188576,1.4299230576,1.8748569489
46,1.7835247517,1.2897212505,0.6845973134,1.0973542929
48,1.6891583204,1.0747522116,0.9920386672,1.1172466278
50,1.5924196243,1.1809728146,0.7435025573,0.7957752347
52,1.5422283411,1.0106749535,0.5644709468,0.9298121333
54,1.4579794407,1.2229163647,0.938351512,1.4174143076
56,1.3359367847,1.073749423,0.3677559495,0.7508135438
58,1.2320533991,0.9133337736,0.8928483129,0.6984013319
60,1.1618520021,0.7846131325,0.3432324827,0.5397928953
62,1.0232619047,1.0195391178,0.7920210361,0.7510643601
64,1.0621875525,0.9638359547,0.7134336233,0.7159451246
66,0.8681287169,0.8790833354,0.7676131129,0.771363616
68,0.9000530243,0.8565913439,0.4149898589,0.5488359928
70,0.7644460201,0.5858973265,0.5206811428,0.467105031
72,0.7116898894,0.520781219,0.5454238057,0.5966770649
74,0.5776329041,0.4483327866,0.6595848203,0.3574278951
76,0.5435457826,0.4438062012,0.4654645026,0.5407008529
78,0.4956423342,0.5253762007,0.489181459,0.0782327056
80,0.5386939645,0.443256706,0.46026209,0.3547439575
82,0.459374547,0.3409815133,0.354871273,0.398247093
84,0.4329512417,0.4428941607,0.4820342064,0.2438227087
86,0.4567087293,0.4456064701,0.3806703687,0.2332643569
88,0.5367662907,0.4726308882,0.3533547521,0.3468540013
-90,0.7839041948,0.3697313368,1.2734456062,2.1127679348
-88,0.4711719453,0.3521215618,0.2326977998,0.3824462891
-86,0.5582489967,0.4035087228,0.2345694751,0.3280508816
-84,0.5439376235,0.3720712662,0.3317634463,0.3148037493
-82,0.5800369382,0.4214993119,0.3550727367,0.4230239689
-80,0.6049120426,0.5502153039,0.25635764,0.4268625975
-78,0.6489973664,0.6187018752,0.3219819665,0.2324984521
-76,0.6904419065,0.6668998599,0.3075754642,0.5616768599
-74,0.6912149787,0.6474226117,0.3146801293,0.4412617981
-72,0.8389997482,0.8238106966,0.3622502685,0.803681016
-70,0.765478909,0.7426428199,0.2465972453,0.2456749529
-68,1.0528863668,0.7679960728,0.3674767017,0.6512925625
-66,1.219081521,0.6405519247,0.2784896493,0.5451731086
-64,1.1540892124,0.7785118222,0.4555392563,0.7828453779
-62,1.2706507444,0.952209115,0.3446329832,0.4710046053
-60,1.2620851994,0.9571332932,0.5281931758,0.6331453919
-58,1.338763237,1.0168578625,0.32271263,0.3163729608
-56,1.4652512074,1.150138855,0.6322170496,1.0309789181
-54,1.4168339968,0.8596524,0.3544911444,0.8980068564
-52,1.4154572487,0.9125903249,0.4887827039,0.6587414742
-50,1.5339727402,1.0413553715,0.4740873277,1.022756815
-48,1.5403257608,1.0845457315,0.5758853555,0.5523329973
-46,2.6047792435,1.2182332277,0.6612188816,1.2887985706
-44,1.9777383804,0.8935185671,0.4873104692,0.4543594718
-42,1.6830669641,0.9386711717,0.5075228214,0.6905103922
-40,1.7299078703,0.9931586385,0.867492497,0.9184014201
-38,1.6315603256,1.1339606047,0.6938598752,0.6827834845
-36,1.7875905037,1.0131460428,1.0068253279,1.0600172281
-34,1.4920357466,1.1951390505,0.9249756932,0.5553705096
-32,1.2961281538,1.2505891323,1.0363529921,0.7596881986
-30,1.2411439419,1.2813626528,1.1235702038,1.0459132195
-28,1.1634563208,1.346470952,1.2319216728,1.4143553972
-26,1.1478654146,1.2114986181,2.0025448799,0.7802664638
-24,0.999622643,1.3554984331,1.7245556116,0.6788802147
-22,0.8698191643,1.2722445726,1.4249938726,1.2590059042
-20,0.9965309501,1.3582055569,1.3745633364,1.450247407
-18,0.9257016182,1.4076138735,1.9382840395,1.5193755627
-16,1.027925849,1.5738651752,1.6371349096,1.3446718454
-14,0.9073359966,1.7558532953,1.7799335718,1.6795041561
-12,0.7824738622,1.5082756281,1.567766428,1.1154924631
-10,0.6661973,1.5112665892,1.3797991276,1.3178175688
-8,0.7024734616,1.4890735149,1.306080699,1.3400028944
-6,0.6856455803,1.5027623177,1.8127360344,1.1190646887
-4,0.8205720186,1.5533845425,1.7285416126,1.2800598145
-2,0.7645308375,1.9189126492,1.6139135361,1.3370996714
1.27222193825778E-013,1.1516356468,2.995039463,2.41177845,3.1883537769
2,0.8714768887,1.7176400423,1.2869884968,1.5327736139
4,0.7275748253,1.6566692591,1.4192022085,1.2058273554
6,0.6898801327,1.7313679457,1.3439884186,1.6740807295
8,0.7570210099,1.7121409178,1.6008239985,1.7739934921
10,0.8144171834,1.7176320553,1.4942637682,1.7732064724
12,0.9305493236,1.9689284563,1.6784286499,1.9895313978
14,0.9189699888,1.853012085,1.554043293,1.940107584
16,1.1050043106,1.8108059168,1.5785952806,1.6889704466
18,1.1103576422,1.6566721201,1.5967314243,1.7418891191
20,0.8870789409,1.8166464567,1.7187951803,2.3278536797
22,0.9659433365,1.8514596224,1.9318275452,1.8573557138
24,1.1766513586,1.8394582272,1.9339356422,2.2007808685
26,1.1856280565,1.5794991255,2.3514232635,2.1005008221
28,0.9733934402,1.6483910084,2.2671141624,2.1628935337
30,1.1966471672,1.6728022099,1.9446998835,1.7898188829
32,1.3863706589,1.5866514444,1.9224916697,1.9086486101
34,1.2048389912,1.7008519173,2.3996653557,2.2355794907
36,1.3018262386,1.3688536882,2.2792346478,1.8214410543
38,1.2652130127,1.4191919565,1.9558445215,1.6503561735
40,1.1911923885,1.2716231346,1.9366213083,1.5911669731
42,1.4598901272,1.2214705944,1.6101099253,1.5915119648
44,1.9929666519,1.5710227489,1.738794446,2.6748361588
46,1.4074593782,1.0087666512,1.5074391365,1.3752840757
48,1.4825891256,0.8613891006,1.5675301552,0.8300337195
50,1.4834258556,0.8649513125,1.1893774271,1.3931703568
52,1.4413975477,0.9135626554,0.9597955942,0.6732492447
54,1.8003131151,0.7585886121,1.2725390196,1.7360314131
56,1.6201037169,0.7028304935,1.0248289108,1.1307021379
58,1.6321829557,0.6783615947,1.0647197962,0.964710176
60,1.6250711679,0.7686194777,1.1164072752,0.8463200927
62,1.4775819778,0.9282316566,1.1662607193,0.8542770743
64,1.4307901859,0.7352118492,1.0670909882,0.6802052259
66,1.4154571295,0.6332119703,1.2566853762,1.0344077349
68,1.2249619961,0.6165264845,0.9013184905,0.6141510606
70,1.0286166668,0.6442946792,0.978800416,0.6157656312
72,0.8961133361,0.5482781529,0.7651085258,0.5771048069
74,0.8651793599,0.485067606,0.43618083,0.6477259994
76,0.7118404508,0.4511660337,0.5052728057,0.7369965911
78,0.5970014334,0.3862782419,0.5871904492,0.3399956226
80,0.6716251373,0.4181929827,0.4661011398,0.3512239456
82,0.4836473167,0.3065551221,0.3287969828,0.2965456247
84,0.5626921654,0.3233284354,0.4508671761,0.284194082
86,0.6028981805,0.3451822102,0.2927820385,0.3066458404
88,0.5236807466,0.4407011867,0.2481071949,0.3626955748
-90,0.6697429419,0.9760348201,1.2240401506,1.8528950214
-88,0.583457768,0.4699147344,0.531932652,0.2906226814
-86,0.6539136767,0.4237159193,0.5909639597,0.2390374988
-84,0.62798208,0.3056154251,0.5513781905,0.1998321563
-82,0.7690973878,0.4530650973,0.480902642,0.3928567767
-80,0.7678822279,0.4863570035,0.7509062886,0.3033306897
-78,1.139949441,0.4930342138,0.8641732931,0.3323879838
-76,1.0460008383,0.5574867129,0.757147789,0.3818949461
-74,1.0613960028,0.5768823624,0.8358613849,0.2778687179
-72,1.2272669077,0.731395185,1.0507802963,0.392844528
-70,1.1415770054,0.6054897904,1.0282669067,0.2422967553
-68,1.1891286373,0.8250381351,1.1897236109,0.6706961989
-66,0.9822348952,0.694355607,1.1893898249,0.5087580085
-64,0.9659840465,0.7641807795,1.2086638212,0.882555306
-62,1.0214623213,0.6836805344,1.4640684128,0.4171606004
-60,0.9617322087,0.85592103,1.6147348881,0.658860445
-58,1.0830800533,0.7833361626,1.1563723087,0.6632909775
-56,1.1504845619,0.7847667336,1.40909338,1.0040293932
-54,1.1126884222,0.71156919,1.1786658764,0.4872632027
-52,1.1292238235,0.8511041403,1.3118492365,0.6019192338
-50,1.2400555611,0.7610192299,1.4074519873,0.8282002807
-48,1.3449875116,0.9294131994,1.6868828535,0.6507088542
-46,1.7637804747,1.1259750128,2.0121803284,1.4211474657
-44,1.2327102423,1.1680153608,1.3258082867,0.8371995091
-42,1.210609436,1.0568238497,1.289180398,1.0271627903
-40,1.0545686483,1.3644003868,1.3454931974,0.9915560484
-38,1.1525826454,1.2954521179,1.1432888508,0.6609769464
-36,1.3153325319,1.338570118,1.2500678301,1.5376285315
-34,1.2829575539,1.3762534857,1.0744696856,0.9578529
-32,1.292817235,1.5398868322,1.0668663979,1.0516860485
-30,1.2972682714,1.7549475431,1.2685239315,1.5647391081
-28,1.2524700165,1.859118104,1.4964436293,1.6020567417
-26,1.0239462852,1.6226181984,1.3759504557,1.6131385565
-24,1.1706899405,1.669603467,1.4659007788,1.9431407452
-22,1.1114161015,1.6555238962,1.3821601868,1.6946948767
-20,1.1385153532,2.0266504288,1.3496814966,1.763725996
-18,1.198076129,2.0713090897,1.5234138966,2.6183545589
-16,1.3354468346,2.1462292671,1.6377021074,1.7915490866
-14,1.2799161673,2.1788716316,1.8056988716,2.0348138809
-12,1.1792714596,1.6566847563,1.8723655939,2.3845155239
-10,1.0554256439,2.2298855782,2.0029962063,2.0392458439
-8,1.0959043503,1.7260537148,1.777056098,1.5486555099
-6,0.9609875083,1.6523720026,1.787112236,1.5297474861
-4,1.1687072515,2.0310981274,1.861811161,1.1638731956
-2,1.6760425568,1.8656046391,2.6634435654,1.4960185289
1.27222193825778E-013,2.9647352695,2.7631373405,6.8294005394,4.2053785324
2,1.1045298576,1.673588872,1.9795606136,2.084017992
4,1.1436824799,1.8093259335,1.7861553431,1.8441523314
6,1.2078348398,1.7005589008,1.2695617676,1.4944056273
8,1.2587686777,1.5506349802,1.4518492222,2.0345635414
10,1.5289880037,1.6815737486,1.4258540869,1.4757193327
12,1.939175725,2.1430563927,1.5531488657,2.1924405098
14,1.5876686573,2.1603322029,1.4290213585,1.7711461782
16,1.4996920824,2.1433420181,1.0323421955,3.17558074
18,1.5191265345,2.1725955009,1.0661972761,2.0742638111
20,1.2517265081,1.7933335304,1.1575933695,1.7654448748
22,1.2447444201,1.8104795218,1.0764214993,2.1994423866
24,1.3576147556,1.7379962206,0.781273067,3.0952279568
26,1.4586451054,1.7807821035,0.8029683828,2.294905901
28,1.3134961128,1.4847637415,1.0535166264,1.3367789984
30,1.2620334625,1.5003470182,0.9270988703,1.3247591257
32,1.5295295715,1.4620571136,0.5166664124,0.9918237925
34,1.2716435194,1.4120138884,0.9975283146,1.1704529524
36,1.2064036131,1.3091505766,0.7210273743,0.9720689058
38,1.0277053118,0.9796743989,0.7633562088,0.7779693007
40,1.1898336411,0.8981552124,0.6877769828,0.6990416646
42,1.2424483299,0.5777596235,0.4697476029,0.6315059066
44,1.6800669432,0.8753182888,0.7770175934,1.4044034481
46,1.242688179,0.563131392,0.5759596825,0.701081872
48,1.1837023497,0.6288061738,0.4430623949,0.5783022642
